Media Sources,Negative,Neutral,Positive,Compound,Tweets Ago,Date,Text
BBC,0.0,1.0,0.0,0.0,57,Tue Jun 05 11:04:56 +0000 2018,Saudi Arabia issues first driving licences to women https://t.co/HYn1nANTVL
BBC,0.0,0.829,0.171,0.4019,58,Tue Jun 05 10:55:10 +0000 2018,Former North Korean spies see the country's growing diplomatic activities as a chance to return to the land they lo… https://t.co/fgMfEG6pch
BBC,0.0,0.833,0.167,0.2023,59,Tue Jun 05 10:29:21 +0000 2018,"Same-sex spouses have EU residence rights, top court rules https://t.co/uiDVv3YC3m"
BBC,0.368,0.486,0.146,-0.6249,60,Tue Jun 05 10:26:48 +0000 2018,Syria war: Amnesty says UK 'should come clean' on Raqqa attacks https://t.co/TeWf0nHr4L
BBC,0.0,1.0,0.0,0.0,61,Tue Jun 05 10:26:30 +0000 2018,"After a student took a cardboard cutout of @DannyDeVito to her prom, the actor returned the favour… https://t.co/Z9gvQ3UCLH"
BBC,0.0,1.0,0.0,0.0,62,Tue Jun 05 10:19:06 +0000 2018,Billionaire Koch brothers take on Trump over tariffs https://t.co/3ol7LDhIZZ
BBC,0.259,0.741,0.0,-0.4215,63,Tue Jun 05 10:14:35 +0000 2018,Tennis match-fixing investigators detain 13 in Belgium raids https://t.co/KiEWdWXJVw
BBC,0.172,0.828,0.0,-0.4019,64,Tue Jun 05 09:58:36 +0000 2018,Pep Guardiola: Yaya Toure says Man City boss 'often has problems with Africans' https://t.co/IeTYyh8CtQ
BBC,0.137,0.863,0.0,-0.4019,65,Tue Jun 05 09:40:58 +0000 2018,"RT @BBCSport: Pep Guardiola ""often has problems with Africans"", says Yaya Toure.

👉 https://t.co/J7ohy1s60t https://t.co/EwGSRrbtN5"
BBC,0.0,1.0,0.0,0.0,66,Tue Jun 05 09:02:58 +0000 2018,Australia objects to China 'pressure' in Qantas decision https://t.co/6UvwGjHVrP
BBC,0.204,0.796,0.0,-0.3182,67,Tue Jun 05 09:00:42 +0000 2018,Australian beaches covered with rubbish from lost sea cargo https://t.co/bF6stCwuGl
BBC,0.149,0.764,0.087,-0.4215,68,Tue Jun 05 07:47:41 +0000 2018,"RT @VictoriaLIVE: The abortion survivor whose mum thought she was dead.

Melissa Ohden was 14 when she learned her mother had tried to abor…"
BBC,0.059,0.871,0.07,0.0772,69,Tue Jun 05 06:41:39 +0000 2018,RT @BBCBenThompson: How much time do you spend staring at your smartphone?  Apple is launching an app to help us cut our addiction. But wil…
BBC,0.0,0.769,0.231,0.2732,70,Tue Jun 05 05:03:34 +0000 2018,"Trump-Kim meeting: Preparations going well, says US https://t.co/aYxLvfZFkG"
BBC,0.264,0.566,0.17,-0.3612,71,Tue Jun 05 04:54:29 +0000 2018,Tasmania Anglican church sales to help 'make amends' for abuse https://t.co/YKZYTnfjAt
BBC,0.216,0.784,0.0,-0.296,72,Tue Jun 05 04:35:38 +0000 2018,Former Trump staffer Manafort accused of witness tampering https://t.co/w4kmpBgd4A
BBC,0.0,1.0,0.0,0.0,73,Tue Jun 05 04:17:32 +0000 2018,Iran nuclear deal: Tehran to give notice of uranium work https://t.co/LUtHvoCEok
BBC,0.0,1.0,0.0,0.0,74,Tue Jun 05 01:51:55 +0000 2018,The robots taking on your housework https://t.co/i1LCEz2ppN
BBC,0.0,1.0,0.0,0.0,75,Tue Jun 05 01:42:45 +0000 2018,Early Van Gogh landscape sells for €7m at French auction https://t.co/M7Skbpbkin
BBC,0.42,0.58,0.0,-0.7003,76,Tue Jun 05 01:28:59 +0000 2018,Georgia officer fired for hitting suspect with patrol car https://t.co/8aNKahkZ6H
BBC,0.0,0.714,0.286,0.4939,77,Tue Jun 05 01:26:30 +0000 2018,Could a text message save thousands of fishermen's lives? https://t.co/mExwAf6xeB
BBC,0.462,0.538,0.0,-0.7184,78,Tue Jun 05 01:21:33 +0000 2018,Henri van Breda: Axe murderer transfixes South Africa https://t.co/O1dNCMtV3L
BBC,0.0,1.0,0.0,0.0,79,Tue Jun 05 01:16:48 +0000 2018,Europe and nationalism: A country-by-country guide https://t.co/qmWHG9z70Y
BBC,0.159,0.714,0.127,-0.1027,80,Tue Jun 05 00:48:55 +0000 2018,Trump drops Philadelphia Eagles White House invite over anthem protest https://t.co/obgA2oEFfx
BBC,0.0,1.0,0.0,0.0,81,Tue Jun 05 00:33:12 +0000 2018,Swimmer Ben Lecomte begins record Pacific crossing attempt https://t.co/hizUqNTrJf
BBC,0.0,1.0,0.0,0.0,82,Tue Jun 05 00:01:36 +0000 2018,Guatemala volcano: Deadly Fuego eruption caught on video https://t.co/26NcA7c5TE
BBC,0.0,1.0,0.0,0.0,83,Mon Jun 04 23:59:22 +0000 2018,Pakistan's soaring rates of 'diabetic foot' https://t.co/0wuN4VOWCK
BBC,0.0,1.0,0.0,0.0,84,Mon Jun 04 23:43:23 +0000 2018,Is Kyary Pamyu Pamyu Japan's Lady Gaga? https://t.co/wiwhaLi2hw
BBC,0.192,0.583,0.225,0.1027,85,Mon Jun 04 23:24:51 +0000 2018,Qatar cash and cows help buck Gulf boycott https://t.co/84PpHofoEx
BBC,0.0,0.592,0.408,0.7839,86,Mon Jun 04 23:08:49 +0000 2018,Robert Kennedy: What if US presidential hopeful had not been killed? https://t.co/hwBXdc9ZGy
BBC,0.0,0.682,0.318,0.6369,87,Mon Jun 04 23:08:49 +0000 2018,Why do we love to dance with each other? https://t.co/j7k19CeLYz
BBC,0.234,0.532,0.234,0.0,88,Mon Jun 04 23:06:29 +0000 2018,Are presidential pardons Trump's secret weapon? https://t.co/yBq5C9ams2
BBC,0.195,0.805,0.0,-0.4404,89,Mon Jun 04 22:10:13 +0000 2018,Ron Rockwell Hansen: US arrests man for trying to spy for China https://t.co/Iw8IlxeL6B
BBC,0.0,1.0,0.0,0.0,90,Mon Jun 04 21:51:42 +0000 2018,Putin says Russia not aiming to divide EU https://t.co/pIr83FStfl
BBC,0.0,1.0,0.0,0.0,91,Mon Jun 04 21:25:57 +0000 2018,Apple jams Facebook's web-tracking tools https://t.co/G0AsTYigTw
BBC,0.0,1.0,0.0,0.0,92,Mon Jun 04 21:21:20 +0000 2018,Starbucks boss leaves firm after 36 years https://t.co/KcUakTkvFd
BBC,0.0,1.0,0.0,0.0,93,Mon Jun 04 21:06:55 +0000 2018,Dinosaur skeleton sold to private buyer for €1.6m at Paris auction https://t.co/ereUQ8ooxf
BBC,0.0,1.0,0.0,0.0,94,Mon Jun 04 21:04:15 +0000 2018,Guatemala Fuego: Search after deadly volcano eruption https://t.co/s6CY92KccW
BBC,0.31,0.69,0.0,-0.6705,95,Mon Jun 04 19:16:00 +0000 2018,Maine man killed in hit-and-run ran over a girl in 1968 https://t.co/isZY3dMWkr
BBC,0.0,0.737,0.263,0.3612,96,Mon Jun 04 18:59:41 +0000 2018,Russia puts a smile on Kim Jong-un's face https://t.co/CmvaJ3ijnC
BBC,0.098,0.902,0.0,-0.0516,97,Mon Jun 04 18:59:41 +0000 2018,Denmark backs fence on German border to keep out wild boar https://t.co/3Zf8IeXahF
BBC,0.351,0.541,0.108,-0.5719,98,Mon Jun 04 18:47:47 +0000 2018,Tunisia migrant shipwreck death toll reaches 112 https://t.co/Rnj6nvZOe5
BBC,0.375,0.625,0.0,-0.6597,99,Mon Jun 04 16:32:02 +0000 2018,Italians shocked by man's selfie after train accident in Piacenza https://t.co/BpE2CVICYE
BBC,0.423,0.577,0.0,-0.6597,100,Mon Jun 04 16:07:02 +0000 2018,'Remarkable' therapy beats terminal breast cancer https://t.co/E21jrB3cvI
CBS,0.0,0.821,0.179,0.34,1,Wed Jun 06 08:48:04 +0000 2018,Social Security says system's costs will exceed income this year https://t.co/GeEEMRzkj0 https://t.co/t3VnoOHYyS
CBS,0.324,0.676,0.0,-0.5859,2,Wed Jun 06 08:33:04 +0000 2018,FBI agent whose gun accidentally went off in nightclub identified https://t.co/mdjjT4mlZl https://t.co/J3yPtuSDQx
CBS,0.352,0.463,0.185,-0.5574,3,Wed Jun 06 08:18:03 +0000 2018,Secret Service arrests White House contractor with outstanding attempted murder warrant https://t.co/gtA0FC9Ya4 https://t.co/mWFKUj8JFe
CBS,0.371,0.629,0.0,-0.7579,4,Wed Jun 06 08:03:03 +0000 2018,Suspect shot by police after infant found dead in hotel freezer https://t.co/zcutRJzF5u https://t.co/aLFmWyJJXp
CBS,0.0,1.0,0.0,0.0,5,Wed Jun 06 07:48:03 +0000 2018,Deer caught on video tackling man on the highway in close call https://t.co/7XcCVIWaah https://t.co/CR5L8iWA5x
CBS,0.0,1.0,0.0,0.0,6,Wed Jun 06 07:33:03 +0000 2018,"New Horizons Pluto probe wakes up, on course for New Year's Day flyby https://t.co/z8ueRIRl2s https://t.co/TUSaW4osoN"
CBS,0.216,0.784,0.0,-0.5106,7,Wed Jun 06 07:18:03 +0000 2018,"Kelly Sadler, White House aide who insulted John McCain, is out https://t.co/bK5a7BqFbJ https://t.co/YiZ1zIWtCE"
CBS,0.149,0.676,0.176,0.1027,8,Wed Jun 06 07:03:04 +0000 2018,"No evidence sex robots have any health benefits, report says https://t.co/JtHgBHDX3M https://t.co/7wUBVVUthj"
CBS,0.297,0.703,0.0,-0.4215,9,Wed Jun 06 06:48:03 +0000 2018,Target workers accused of forcing woman to expose herself https://t.co/ZalUhq42U5 https://t.co/B6HSBBLT5n
CBS,0.0,1.0,0.0,0.0,10,Wed Jun 06 06:33:04 +0000 2018,Fans react to Trump canceling White House event for Philadelphia Eagles https://t.co/gyMHK66dJ4 https://t.co/FjfugXr5Ai
